PULocationID,PU_Borough,PU_Zone,hora_dia,total_viajes
1,EWR,Newark Airport,6,1
1,EWR,Newark Airport,7,2
1,EWR,Newark Airport,9,4
1,EWR,Newark Airport,12,1
1,EWR,Newark Airport,13,4
1,EWR,Newark Airport,14,6
1,EWR,Newark Airport,15,12
1,EWR,Newark Airport,16,10
1,EWR,Newark Airport,17,9
1,EWR,Newark Airport,18,4
1,EWR,Newark Airport,19,1
1,EWR,Newark Airport,20,1
1,EWR,Newark Airport,23,3
2,Queens,Jamaica Bay,7,1
2,Queens,Jamaica Bay,10,1
2,Queens,Jamaica Bay,14,1
2,Queens,Jamaica Bay,15,1
2,Queens,Jamaica Bay,22,1
3,Bronx,Allerton/Pelham Gardens,0,3
3,Bronx,Allerton/Pelham Gardens,1,2
3,Bronx,Allerton/Pelham Gardens,2,1
3,Bronx,Allerton/Pelham Gardens,3,1
3,Bronx,Allerton/Pelham Gardens,4,7
3,Bronx,Allerton/Pelham Gardens,5,21
3,Bronx,Allerton/Pelham Gardens,6,21
3,Bronx,Allerton/Pelham Gardens,7,12
3,Bronx,Allerton/Pelham Gardens,8,20
3,Bronx,Allerton/Pelham Gardens,9,13
3,Bronx,Allerton/Pelham Gardens,10,6
3,Bronx,Allerton/Pelham Gardens,11,4
3,Bronx,Allerton/Pelham Gardens,12,4
3,Bronx,Allerton/Pelham Gardens,13,4
3,Bronx,Allerton/Pelham Gardens,14,9
3,Bronx,Allerton/Pelham Gardens,15,5
3,Bronx,Allerton/Pelham Gardens,16,6
3,Bronx,Allerton/Pelham Gardens,18,3
3,Bronx,Allerton/Pelham Gardens,19,3
3,Bronx,Allerton/Pelham Gardens,21,4
3,Bronx,Allerton/Pelham Gardens,22,3
3,Bronx,Allerton/Pelham Gardens,23,2
4,Manhattan,Alphabet City,0,680
4,Manhattan,Alphabet City,1,807
4,Manhattan,Alphabet City,2,668
4,Manhattan,Alphabet City,3,375
4,Manhattan,Alphabet City,4,150
4,Manhattan,Alphabet City,5,53
4,Manhattan,Alphabet City,6,135
4,Manhattan,Alphabet City,7,246
4,Manhattan,Alphabet City,8,310
4,Manhattan,Alphabet City,9,263
4,Manhattan,Alphabet City,10,122
4,Manhattan,Alphabet City,11,103
4,Manhattan,Alphabet City,12,104
4,Manhattan,Alphabet City,13,110
4,Manhattan,Alphabet City,14,131
4,Manhattan,Alphabet City,15,153
4,Manhattan,Alphabet City,16,127
4,Manhattan,Alphabet City,17,139
4,Manhattan,Alphabet City,18,284
4,Manhattan,Alphabet City,19,231
4,Manhattan,Alphabet City,20,169
4,Manhattan,Alphabet City,21,203
4,Manhattan,Alphabet City,22,362
4,Manhattan,Alphabet City,23,502
5,Staten Island,Arden Heights,11,1
5,Staten Island,Arden Heights,13,1
6,Staten Island,Arrochar/Fort Wadsworth,4,2
6,Staten Island,Arrochar/Fort Wadsworth,5,6
6,Staten Island,Arrochar/Fort Wadsworth,7,2
6,Staten Island,Arrochar/Fort Wadsworth,8,4
6,Staten Island,Arrochar/Fort Wadsworth,10,1
6,Staten Island,Arrochar/Fort Wadsworth,11,1
6,Staten Island,Arrochar/Fort Wadsworth,13,3
6,Staten Island,Arrochar/Fort Wadsworth,18,2
6,Staten Island,Arrochar/Fort Wadsworth,21,1
6,Staten Island,Arrochar/Fort Wadsworth,22,2
6,Staten Island,Arrochar/Fort Wadsworth,23,5
7,Queens,Astoria,0,92
7,Queens,Astoria,1,73
7,Queens,Astoria,2,60
7,Queens,Astoria,3,53
7,Queens,Astoria,4,101
7,Queens,Astoria,5,65
7,Queens,Astoria,6,99
7,Queens,Astoria,7,221
7,Queens,Astoria,8,220
7,Queens,Astoria,9,103
7,Queens,Astoria,10,86
7,Queens,Astoria,11,113
7,Queens,Astoria,12,109
7,Queens,Astoria,13,103
7,Queens,Astoria,14,110
7,Queens,Astoria,15,110
7,Queens,Astoria,16,84
7,Queens,Astoria,17,109
7,Queens,Astoria,18,111
7,Queens,Astoria,19,86
7,Queens,Astoria,20,83
7,Queens,Astoria,21,94
7,Queens,Astoria,22,113
7,Queens,Astoria,23,103
8,Queens,Astoria Park,2,2
8,Queens,Astoria Park,5,1
8,Queens,Astoria Park,6,2
8,Queens,Astoria Park,8,1
8,Queens,Astoria Park,10,1
8,Queens,Astoria Park,13,1
8,Queens,Astoria Park,14,1
8,Queens,Astoria Park,16,3
8,Queens,Astoria Park,18,2
8,Queens,Astoria Park,19,1
8,Queens,Astoria Park,22,2
8,Queens,Astoria Park,23,1
9,Queens,Auburndale,0,5
9,Queens,Auburndale,1,1
9,Queens,Auburndale,5,2
9,Queens,Auburndale,6,8
9,Queens,Auburndale,7,7
9,Queens,Auburndale,8,7
9,Queens,Auburndale,9,5
9,Queens,Auburndale,10,4
9,Queens,Auburndale,11,9
9,Queens,Auburndale,12,14
9,Queens,Auburndale,13,1
9,Queens,Auburndale,14,4
9,Queens,Auburndale,15,2
9,Queens,Auburndale,16,2
9,Queens,Auburndale,18,2
9,Queens,Auburndale,19,4
9,Queens,Auburndale,20,2
9,Queens,Auburndale,21,1
9,Queens,Auburndale,22,2
9,Queens,Auburndale,23,4
10,Queens,Baisley Park,0,17
10,Queens,Baisley Park,1,17
10,Queens,Baisley Park,2,7
10,Queens,Baisley Park,3,13
10,Queens,Baisley Park,4,12
10,Queens,Baisley Park,5,36
10,Queens,Baisley Park,6,60
10,Queens,Baisley Park,7,126
10,Queens,Baisley Park,8,86
10,Queens,Baisley Park,9,48
10,Queens,Baisley Park,10,31
10,Queens,Baisley Park,11,30
10,Queens,Baisley Park,12,33
10,Queens,Baisley Park,13,51
